,rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
121,122,let,v,780929,786.42,0.39,0.01,177948,0.96,70736,64914,299506,152262,99083,46942,34440,13046,569.29,504.72,2338.53,1207.13,837.4,372.29,282.89,108.91
124,125,call,v,768117,773.51,0.05,0.01,232968,0.99,75736,85918,148220,116916,106385,94459,93785,46698,609.53,668.03,1157.29,926.91,899.11,749.13,770.36,389.83
126,127,may,v,757742,763.07,0.03,0.0,221930,0.98,103786,140548,52568,78438,26730,116192,69471,170009,835.28,1092.8,410.45,621.85,225.91,921.49,570.64,1419.22
129,130,mean,v,748840,754.1,0.02,0.01,195304,0.97,83041,73925,204917,184486,73550,51115,38147,39659,668.32,574.79,1599.98,1462.6,621.61,405.38,313.34,331.07
135,136,feel,v,722826,727.9,0.02,0.01,197716,0.98,96206,86326,119499,98165,145051,81573,60395,35611,774.27,671.21,933.04,778.25,1225.9,646.94,496.09,297.28
142,143,ask,v,676596,681.35,0.04,0.0,200919,0.98,72470,73964,97800,103132,149847,69264,66304,43815,583.24,575.09,763.62,817.63,1266.43,549.32,544.63,365.76
148,149,talk,v,635614,640.08,0.04,0.01,162187,0.96,59420,50042,173829,180175,77476,39486,41711,13475,478.22,389.09,1357.25,1428.42,654.79,313.15,342.62,112.49
150,151,keep,v,626487,630.89,0.09,0.01,217125,0.99,87460,79195,111624,71703,98570,85435,65958,26542,703.88,615.76,871.55,568.46,833.07,677.57,541.79,221.57
151,152,leave,v,622651,627.03,0.05,0.01,205753,0.99,64099,66380,130925,65199,123231,69936,70913,31968,515.87,516.12,1022.26,516.9,1041.49,554.65,582.49,266.87
152,153,put,v,616952,621.29,0.07,0.01,213983,0.99,79886,71487,112208,104517,89263,68577,64629,26384,642.93,555.83,876.11,828.61,754.41,543.87,530.87,220.25
153,154,like,v,614691,619.01,0.07,0.01,174885,0.98,88008,69658,178493,99968,79282,44999,40281,14000,708.29,541.61,1393.67,792.54,670.05,356.88,330.87,116.87
